"";"nombre_pregunta";"codigos_categorias_2";"codigo";"categoria"
"1";"p1_recop_dat";"1=Si";1;"Si"
"2";"p1_recop_dat";"2=No";2;"No"
"3";"p1_recop_dat";"99=No sabe";99;"No sabe"
"4";"p2_bases_dat";"1=Si";1;"Si"
"5";"p2_bases_dat";"2=No";2;"No"
"6";"p2_bases_dat";"99=No sabe";99;"No sabe"
"7";"p3_control_base";"1=Lo hace un equipo interno (que forma parte del organismo)";1;"Lo hace un equipo interno (que forma parte del organismo)"
"8";"p3_control_base";"2=Lo hace un equipo externo (que no forma parte del organismo)";2;"Lo hace un equipo externo (que no forma parte del organismo)"
"9";"p3_control_base";"3=Lo hace un equipo interno y un equipo externo";3;"Lo hace un equipo interno y un equipo externo"
"10";"p3_control_base";"99=No sabe";99;"No sabe"
"11";"p4_integr_dat";"1=Si";1;"Si"
"12";"p4_integr_dat";"2=No";2;"No"
"13";"p4_integr_dat";"99=No sabe";99;"No sabe"
"14";"p5_tec_integr_dat";"1=Si";1;"Si"
"15";"p5_tec_integr_dat";"2=No";2;"No"
"16";"p5_tec_integr_dat";"99=No sabe";99;"No sabe"
"17";"p6_documen_pol_int";"1=Si";1;"Si"
"18";"p6_documen_pol_int";"2=No";2;"No"
"19";"p6_documen_pol_int";"99=No sabe";99;"No sabe"
"20";"p7_area_cienc_dat";"1=Si";1;"Si"
"21";"p7_area_cienc_dat";"2=No";2;"No"
"22";"p7_area_cienc_dat";"99=No sabe";99;"No sabe"
"23";"p8_apli_tec_ciencia_dat";"1=Si";1;"Si"
"24";"p8_apli_tec_ciencia_dat";"2=No";2;"No"
"25";"p8_apli_tec_ciencia_dat";"99=No sabe";99;"No sabe"
"26";"p9_herra_vis_dat";"1=Si";1;"Si"
"27";"p9_herra_vis_dat";"2=No";2;"No"
"28";"p9_herra_vis_dat";"99=No sabe";99;"No sabe"
"29";"p10_apli_pred";"1=Si";1;"Si"
"30";"p10_apli_pred";"2=No";2;"No"
"31";"p10_apli_pred";"99=No sabe";99;"No sabe"
"32";"p11_documen_proy_cie_dat";"1=Si";1;"Si"
"33";"p11_documen_proy_cie_dat";"2=No";2;"No"
"34";"p11_documen_proy_cie_dat";"99=No sabe";99;"No sabe"
"35";"p12_tien_report";"1=Si";1;"Si"
"36";"p12_tien_report";"2=No";2;"No"
"37";"p12_tien_report";"99=No sabe";99;"No sabe"
"38";"p13_act_report";"1=En forma permanente";1;"En forma permanente"
"39";"p13_act_report";"2=Varias veces al día";2;"Varias veces al día"
"40";"p13_act_report";"3=Algunas veces al mes";3;"Algunas veces al mes"
"41";"p13_act_report";"4=Nunca";4;"Nunca"
