"";"Orden_Pregunta";"nombre_preg_cuestionario";"dimension";"n_pregunta";"nombre_preg";"nombre_preg_codigo";"categorías_respuesta";"puntaje_pregunta";"reglas"
"1";1;"1- ¿Recopilan datos?";"Fuente de información/Integración";"p1_";"recop_dat";"p1_recop_dat";"1- Si
2- No
99- No sabe";"1";"p1_recop_dat==1  = 1,
p1_recop_dat==2 | p1_recop_dat==99  = 0"
"2";2;"2- ¿Tinene bases de datos?";"Fuente de información/Integración";"p2_";"bases_dat";"p2_bases_dat";"1- Si
2- No
99 No sabe";"1";"p2_bases_dat==1  = 1,
p2_bases_dat==2 | p2_bases_dat==99  = 0"
"3";3;"3- ¿Quién controla el y gestiona la base de datos? ";"Fuente de información/Integración";"p3_";"control_base";"p3_control_base";"1- Lo hace un equipo interno (que forma parte del organismo) 
2- Lo hace un equipo externo (que no forma parte del organismo)
3- Lo hace un equipo interno y un equipo externo 
99- No sabe";"0,7";"p3_control_base==1  = 0.7,
p3_control_base==2 | p3_control_base==99  = 0"
"4";4;"4- ¿Integran los datos de las distintas fuentes que disponen? ";"Fuente de información/Integración";"p4_";"integr_dat";"p4_integr_dat";"1- Si
2- No
99- No sabe";"1";"p4_integr_dat==1  = 1,
p4_integr_dat==2 | p4_integr_dat==99  = 0"
"5";5;"5- ¿Utilizan alguna tecnología para integrar los datos, de diferentes fuentes y sistemas? 
(APIs, Middleware, data warehouse)
";"Fuente de información/Integración";"p5_";"tec_integr_dat";"p5_tec_integr_dat";"1- Si
2- No
99- No sabe";"0,7";"p5_tec_integr_dat==1  = 0.7,
p5_tec_integr_dat==2 | p5_tec_integr_dat==99  = 0"
"6";6;"6- ¿Tienen documentadas las políticas de integración de datos?";"Fuente de información/Integración";"p6_";"documen_pol_int";"p6_documen_pol_int";"1- Si
2- No
99- No sabe";"0,6";"p6_documen_pol_int==1  = 0.6,
p6_documen_pol_int==2 | p6_documen_pol_int==99  = 0"
"7";7;"7- ¿Tiene un área destinada a ciencia de datos?
Si responden opción 2 o 99 pasa a preguntas de la siguiente dimensión (Actualidad de Reportes/productos)";"Ciencia de datos";"p7_";"area_cienc_dat";"p7_area_cienc_dat";"1- Si
2- No
99- No sabe";"1,4";"p7_area_cienc_dat==1  = 1.4,
p7_area_cienc_dat==2 | p7_area_cienc_dat==99  = 0"
"8";8;"8- ¿Aplican técnicas estadísticas y modelos matemáticos para analizar los datos?";"Ciencia de datos";"p8_";"apli_tec_ciencia_dat";"p8_apli_tec_ciencia_dat";"1- Si
2- No
99- No sabe";"1";"p8_apli_tec_ciencia_dat==1  = 1,
p8_apli_tec_ciencia_dat==2 | p8_apli_tec_ciencia_dat==99  = 0"
"9";9;"9- ¿Utilizan herramientas de visualización para crear gráficos y tablas que permitan mostrar el resultado del análisis de los datos? 

";"Ciencia de datos";"p9_";"herra_vis_dat";"p9_herra_vis_dat";"1- Si
2- No
99- No sabe";"1";"p8_apli_tec_ciencia_dat==1  = 1,
p8_apli_tec_ciencia_dat==2 | p8_apli_tec_ciencia_dat==99  = 0"
"10";10;"10- ¿Se desarrollan y entrenan modelos de aprendizaje automático y análisis predictivo para predecir patrones y/o eventos futuros? 
";"Ciencia de datos";"p10_";"apli_pred";"p10_apli_pred";"1- Si
2- No
99- No sabe";"0,8";"p10_apli_pred==1  = 0.8,
p10_apli_pred==2 | p10_apli_pred==99  = 0"
