"";"condicion_minus";"condicion_final_3"
"1";"si p1 = 1 o p1 = 2 = 1,3";"si p1_integra_datos == 1 o p1_integra_datos == 2 = 1,3"
"2";"si p1 = 3 o p1 = 4 = 1";"si p1_integra_datos == 3 o p1_integra_datos == 4 = 1"
"3";"si p1 = 5 = 0,7";"si p1_integra_datos == 5 = 0,7"
"4";"si p1 = 5 = 0,7";"si p1_integra_datos == 5 = 0,7"
"5";"si p1 = 6 = 0";"si p1_integra_datos == 6 = 0"
"6";"si p1 = 7 = no aplica";"si p1_integra_datos == 7 = 0"
"7";"si p2 = 1 & p3 = 1 = 0,5";"si p2_recop_dat == 1 & p3_como_recop == 1 = 0,5"
"8";"si p2 = 1 & p3 = 2 = 0,7";"si p2_recop_dat == 1 & p3_como_recop == 2 = 0,7"
"9";"si p2 = 1 & p3 = 4 o p3 = 3 = 1";"si p2_recop_dat == 1 & p3_como_recop == 4 o p3_como_recop == 3 = 1"
"10";"si p2 = 1 & p3 = 5 = 0,5";"si p2_recop_dat == 1 & p3_como_recop == 5 = 0,5"
"11";"si p2 = 1 & p3 = 6 = 0,5";"si p2_recop_dat == 1 & p3_como_recop == 6 = 0,5"
"12";"si p2 = 2 = 0";"si p2_recop_dat == 2 = 0"
"13";"si p2 = 3 = 0";"si p2_recop_dat == 3 = 0"
"14";"si p2 = 4 = no aplica";"si p2_recop_dat == 4 = 0"
"15";"habría que ver que hacemos con el otros. como hay respuestas múltiples, si responde por más de una opción se toma la que más puntaje de, ejemplo: si p2 = 1 y p3=1 & 2 & 4, se toma el puntaje de categoría 4 = 1";"habría que ver que hacemos con el otros. como hay respuestas múltiples, si responde por más de una opción se toma la que más puntaje de, ejemplo: si p2_recop_dat == 1 y p3_como_recop==1 & 2 & 4, se toma el puntaje de categoría 4 = 1"
"16";"si p4 = 1 & p5 = 1 = 0,4";"si p4_bases_prop == 1 & p5_cuales_bases == 1 = 0,4"
"17";"si p4 = 1 & p5 = 2  = 0,5";"si p4_bases_prop == 1 & p5_cuales_bases == 2  = 0,5"
"18";"si p4 = 1 & p5 = 1 o p5 = 3 o p5 = 4 o p5 = 6 o p5 = 7 o p5 = 8  = 1";"si p4_bases_prop == 1 & p5_cuales_bases == 1 o p5_cuales_bases == 3 o p5_cuales_bases == 4 o p5_cuales_bases == 6 o p5_cuales_bases == 7 o p5_cuales_bases == 8  = 1"
"19";"si p4 = 1 & p5 = 2 o p5 = 3 o p5 = 4 o p5 = 6 o p5 = 7 o p5 = 8   = 1";"si p4_bases_prop == 1 & p5_cuales_bases == 2 o p5_cuales_bases == 3 o p5_cuales_bases == 4 o p5_cuales_bases == 6 o p5_cuales_bases == 7 o p5_cuales_bases == 8   = 1"
"20";"si p4 = 1 & p5 = 5 o p5 = 3 o p5 = 4 o p5 = 6 o p5 = 7 o p5 = 8   = 1";"si p4_bases_prop == 1 & p5_cuales_bases == 5 o p5_cuales_bases == 3 o p5_cuales_bases == 4 o p5_cuales_bases == 6 o p5_cuales_bases == 7 o p5_cuales_bases == 8   = 1"
"21";"si p4 = 1 & p5 = 3 o p5 = 4 o p5 = 6 o p5 = 7 o p5 = 8 = 1";"si p4_bases_prop == 1 & p5_cuales_bases == 3 o p5_cuales_bases == 4 o p5_cuales_bases == 6 o p5_cuales_bases == 7 o p5_cuales_bases == 8 = 1"
"22";"si p4 = 1 & p5 = 5 = 0,6";"si p4_bases_prop == 1 & p5_cuales_bases == 5 = 0,6"
"23";"si p4 = 2 = 0";"si p4_bases_prop == 2 = 0"
"24";"si p4 = 3 = 0";"si p4_bases_prop == 3 = 0"
"25";"si p4 = 4 = no aplica";"si p4_bases_prop == 4 = 0"
"26";"habría que ver que hacemos con el otros. como hay respuestas múltiples, si responde por más de una opción se toma la que más puntaje de, ejemplo: si p4 = 1 y p5=1 & 2 & 7, se toma el puntaje de categoría 7 = 1";"habría que ver que hacemos con el otros. como hay respuestas múltiples, si responde por más de una opción se toma la que más puntaje de, ejemplo: si p4_bases_prop == 1 y p5_cuales_bases==1 & 2 & 7, se toma el puntaje de categoría 7 = 1"
"27";"si p6 = 1 o p6 = 2 = 0,7";"si p6_cuanto_integ_dat == 1 o p6_cuanto_integ_dat == 2 = 0,7"
"28";"si p6 = 3 = 0,3";"si p6_cuanto_integ_dat == 3 = 0,3"
"29";"si p6 = 4 = 0";"si p6_cuanto_integ_dat == 4 = 0"
"30";"si p6 = 5 = no aplica";"si p6_cuanto_integ_dat == 5 = 0"
"31";"si p7 = 1 = 0,5";"si p7_tec_integr_dat == 1 = 0,5"
"32";"si p7 = 2 = 0";"si p7_tec_integr_dat == 2 = 0"
"33";"si p7 = 3 = 0";"si p7_tec_integr_dat == 3 = 0"
"34";"si p7 = 4 = no aplica";"si p7_tec_integr_dat == 4 = 0"
"35";"si p8 = 1 o p8 = 2 = 0,5";"si p8_documen_pol_int == 1 o p8_documen_pol_int == 2 = 0,5"
"36";"si p8 = 3 = 0,2";"si p8_documen_pol_int == 3 = 0,2"
"37";"si p8 = 4 = 0";"si p8_documen_pol_int == 4 = 0"
"38";"si p8 = 5 = no aplica";"si p8_documen_pol_int == 5 = 0"
"39";"si p9 = 1 & p10 = 1 = 1";"si p9_report_dat == 1 & p10_cuales_rep == 1 = 1"
"40";"si p9 = 1 & p10 = 2 = 1,3";"si p9_report_dat == 1 & p10_cuales_rep == 2 = 1,3"
"41";"si p9 = 1 & p10 = 1 & p10 = 2 = 1,5";"si p9_report_dat == 1 & p10_cuales_rep == 1 & p10_cuales_rep == 2 = 1,5"
"42";"si p9 = 2 = 0";"si p9_report_dat == 2 = 0"
"43";"si p9 = 3 = 0";"si p9_report_dat == 3 = 0"
"44";"si p9 = 4 = no aplica";"si p9_report_dat == 4 = 0"
"45";"habría que ver que hacemos con el otros";"habría que ver que hacemos con el otros=habría que ver que hacemos con el otros"
"46";"si p11 = 1 & p12 = 1 o p12 = 2 o p12 = 3 o p12 = 4 = 0,8";"si p11_apli_tec_ciencia_dat == 1 & p12_cuales_tecn_cd == 1 o p12_cuales_tecn_cd == 2 o p12_cuales_tecn_cd == 3 o p12_cuales_tecn_cd == 4 = 0,8"
"47";"si p11 = 1 & p12 = 1 & p12 = 2 & p12 = 3 & p12 = 4 = 1,3";"si p11_apli_tec_ciencia_dat == 1 & p12_cuales_tecn_cd == 1 & p12_cuales_tecn_cd == 2 & p12_cuales_tecn_cd == 3 & p12_cuales_tecn_cd == 4 = 1,3"
"48";"si p11 = 1 & p12 = 1 & p12 = 2 = 1";"si p11_apli_tec_ciencia_dat == 1 & p12_cuales_tecn_cd == 1 & p12_cuales_tecn_cd == 2 = 1"
"49";"si p11 = 1 & p12 = 3 & p12 = 4 = 1";"si p11_apli_tec_ciencia_dat == 1 & p12_cuales_tecn_cd == 3 & p12_cuales_tecn_cd == 4 = 1"
"50";"si p11 = 1 & p12 = 1 & p12 = 4 = 1";"si p11_apli_tec_ciencia_dat == 1 & p12_cuales_tecn_cd == 1 & p12_cuales_tecn_cd == 4 = 1"
"51";"si p11 = 1 & p12 = 2 & p12 = 4 = 1";"si p11_apli_tec_ciencia_dat == 1 & p12_cuales_tecn_cd == 2 & p12_cuales_tecn_cd == 4 = 1"
"52";"si p11 = 1 & p12 = 1 & p12 = 3 = 1";"si p11_apli_tec_ciencia_dat == 1 & p12_cuales_tecn_cd == 1 & p12_cuales_tecn_cd == 3 = 1"
